Application Title,Application Version,Computer Name,Serial Number,Username
Activity Monitor.app,10.14,MacBook Air,FVFH3HRQQ6L4,d.leggett
Activity Monitor.app,10.14,r.van.rooyen,FVFGL411Q05P,r.van.rooyen
Activity Monitor.app,10.14,g.lippi,C02H2C94Q6L4,g.lippi
Activity Monitor.app,10.14,a.galopin (2),Q3C320HW00,a.galopin
Activity Monitor.app,10.14,w.revilla,XG43P3K4RV,w.revilla
Activity Monitor.app,10.14,v.riepenhausen,FVFDF4NVMNHP,v.riepenhausen
Activity Monitor.app,10.14,d.deverchin,C02H298HQ6L4,d.deverchin
Activity Monitor.app,10.14,p.vallin,C02GM711Q6L4,p.vallin
Activity Monitor.app,10.14,s.shen,FVFGL40VQ05P,s.shen
Activity Monitor.app,10.14,s.aziz,C02GK0LCQ6LR,s.aziz
Activity Monitor.app,10.14,k.baxter_old,C02GDTZ7Q6L4,k.baxter
Activity Monitor.app,10.14,n.manoranjan,XGVVY6QQHV,N.Manoranjan
Activity Monitor.app,10.14,b.villain,XJMXYV0M42,b.villain
Activity Monitor.app,10.14,g.tearle,C02G8ER6Q6L4,g.tearle
Activity Monitor.app,10.14,j.searle,C17GCLJ1Q6L4,j.searle
Activity Monitor.app,10.14,c.arciniega,C02G6X5EQ6L4,c.arciniega
Activity Monitor.app,10.14,p.martin.calero,C02GM6WVQ6L4,p.martin.calero
Activity Monitor.app,10.14,p.uzunova,FVFFM32VQ05N,p.uzunova
Activity Monitor.app,10.14,MacBook Air,C02GK0KRQ6LR,c.lahlou
Activity Monitor.app,10.14,d.ogorman_old,C02GLPNBQ6L4,d.ogorman
Activity Monitor.app,10.14,l.frias,C02DD4S3ML7L,l.frias
Activity Monitor.app,10.14,m.boer_old,C02H1S1AQ6L4,m.boer
Activity Monitor.app,10.14,a.pietrangelo,C02FTFC5Q6L4,a.pietrangelo
Activity Monitor.app,10.14,t.salvan,C02H5QY3Q6L4,t.salvan
Activity Monitor.app,10.14,m.anegboonlap,XJG762J4J3,m.anegboonlap
Activity Monitor.app,10.14,a.pasquariello,FVFH322KQ6L8,
Activity Monitor.app,10.14,d.elberg,C02H84BEQ6L4,d.elberg
Activity Monitor.app,10.14,n.bouwman,C02H84DLQ6L4,n.bouwman
Activity Monitor.app,10.14,h.beiranvand,FVFGL59RQ05P,h.beiranvand
Activity Monitor.app,10.14,f.bakker,C02FQHWBQ6L4,f.bakker
Activity Monitor.app,10.14,l.bankhead,C02H7KDXQ6L4,l.bankhead
Activity Monitor.app,10.14,m.teixeira,C17HC0VUQ6L4,m.teixeira
Activity Monitor.app,10.14,g.jourdon_recycle,C02H9E68Q6L4,
Activity Monitor.app,10.14,a.xu,C02H9E65Q6L4,a.xu
Activity Monitor.app,10.14,f.lacombat,C02H9E7LQ6L4,f.lacombat
Activity Monitor.app,10.14,i.van.hal,C02H9E82Q6L4,i.van.hal
Activity Monitor.app,10.14,l.hack_old,C02H9E77Q6L4,l.hack
Activity Monitor.app,10.14,a.hue.roques,C02H9E81Q6L4,a.hue.roques
Activity Monitor.app,10.14,a.shepeleva,FVFGL40FQ05P,a.shepeleva
Activity Monitor.app,10.14,s.schulze,C02GLPR4Q6L4,s.schulze
Activity Monitor.app,10.14,s.overmars,MTP90417D7,s.overmars
Activity Monitor.app,10.14,y.patrenina,JX5Q4K70VW,y.patrenina
Activity Monitor.app,10.14,a.masoudinejad,FVFGL40YQ05P,a.masoudinejad
Activity Monitor.app,10.14,j.hamelink_stolen/lost,C02H4ZFRQ6L4,j.hamelink_stolen/lost
Activity Monitor.app,10.14,m.ionchenkova,MQY4K92H1K,m.ionchenkova
Activity Monitor.app,10.14,o.guzel,FJVW23CGPX,o.guzel
Activity Monitor.app,10.14,y.veiga,C02H4Z4NQ6L4,y.veiga
Activity Monitor.app,10.14,v.nikolaidou,FVFHG2CPQ05F,v.nikolaidou
Activity Monitor.app,10.14,s.van.der.putten,GV47KQWNHX,s.van.der.putten
Activity Monitor.app,10.14,o.lysenko_old,HX20MVWX2V,o.lysenko
Activity Monitor.app,10.14,c.castiello_old,C17GP017Q6L4,c.castiello
Activity Monitor.app,10.14,e.ahern,FVFGP13BQ05F,e.ahern
Activity Monitor.app,10.14,m.zygar,MK7974MCQ3,m.zygar
Activity Monitor.app,10.14,tamaki,FVFHV0VHQ6L7,tamaki
Activity Monitor.app,10.14,a.floor,C02G4X63Q6L4,a.floor
Activity Monitor.app,10.14,o.bahinskyi,HXPYXQCL9K,o.bahinskyi
Activity Monitor.app,10.14,c.rich,C02FTF84Q6L4,c.rich
Activity Monitor.app,10.14,y.elkareem_old,HX6V0WF4FM,y.elkareem
Activity Monitor.app,10.14,s.kalai,C17H4259Q6L4,s.kalai
Activity Monitor.app,10.14,m.rathi,HXL5CQXQG2,m.rathi
Activity Monitor.app,10.14,s.el.guesaoui_old,C17GP08YQ6L4,s.el.guesaoui
Activity Monitor.app,10.14,c.laurense,FVFGP1E0Q05F,c.laurense
Activity Monitor.app,10.14,n.beukema_old,C02G4X7MQ6L4,n.beukema
Activity Monitor.app,10.14,a.van.itallie,C02G4X7DQ6L4,a.van.itallie
Activity Monitor.app,10.14,n.kurochkina,C02FXC3ZQ6L4,n.kurochkina
Activity Monitor.app,10.14,v.alvarez.maestre,FVFHF464Q05F,v.alvarez.maestre
Activity Monitor.app,10.14,p.fokkens,FVFHG2KGQ05F,p.fokkens
Activity Monitor.app,10.14,c.viault,C02FG0S4Q6LW,c.viault
Activity Monitor.app,10.14,f.ibarra,WM9CQQV0W9,f.ibarra
Activity Monitor.app,10.14,j.den.hamer,FVFHG27EQ05F,j.den.hamer
Activity Monitor.app,10.14,j.fuchsloch,FVFHG2EXQ05F,j.fuchsloch
Activity Monitor.app,10.14,m.tepper,FVFHF47KQ05F,m.tepper
Activity Monitor.app,10.14,l.kocakyan,FVFHG207Q05F,l.kocakyan
Activity Monitor.app,10.14,n.pereira,C02GK0M1Q6LR,n.pereira
Activity Monitor.app,10.14,f.chalub,TYP9F72RV4,f.chalub
Activity Monitor.app,10.14,n.mulder,C17GCLKKQ6L4,n.mulder
Activity Monitor.app,10.14,i.gerrits,C02FDBURQ6L4,i.gerrits
Activity Monitor.app,10.14,z.chami,XG07T6954C,z.chami
Activity Monitor.app,10.14,MacBook Air,C02GM63DQ6L4,
Activity Monitor.app,10.14,a.cain,C02FTVTGQ6L4,a.cain
Activity Monitor.app,10.14,i.bankovskyi,FVFGL40DQ05P,i.bankovskyi
Activity Monitor.app,10.14,e.giannetopoulou,FVFHG2D4Q05F,e.giannetopoulou
Activity Monitor.app,10.14,c.stefan,C02FWX8TQ6L4,c.stefan
Activity Monitor.app,10.14,w.essex,C02D16ELML7H,w.essex
Activity Monitor.app,10.14,b.kidney,HG0FMFDYYG,b.kidney
Activity Monitor.app,10.14,f.moser,C02FDTC8Q6L4,f.moser
Activity Monitor.app,10.14,i.barten,C02H2C7UQ6L4,i.barten
Activity Monitor.app,10.14,h.boutin,FVFHG1W3Q05F,h.boutin
Activity Monitor.app,10.14,s.iakovenko,JQX9HR665Y,s.iakovenko
Activity Monitor.app,10.14,k.cherepanov,JF2FY29J6D,k.cherepanov
Activity Monitor.app,10.14,r.peshkar,JLCFDQTJ7V,r.peshkar
Activity Monitor.app,10.14,s.tykhomyrov,JQ4D6ND4JQ,s.tykhomyrov
Activity Monitor.app,10.14,s.orford,FVFHR7GAQ6LR,s.orford
Activity Monitor.app,10.14,n.youssef,HKL6MNQCQN,n.youssef
Activity Monitor.app,10.14,j.korbella,FVFHR7G9Q6LR,j.korbella
Activity Monitor.app,10.14,d.dimmendaal,C02G4XFWQ6L4,d.dimmendaal
Activity Monitor.app,10.14,w.knapen,C17GCLK4Q6L4,w.knapen
Activity Monitor.app,10.14,g.bottero,FVFGP1E8Q05F,g.bottero
Activity Monitor.app,10.14,c.devaux,FVFHR7GEQ6LR,c.devaux
Activity Monitor.app,10.14,c.gonzalez,FGYVG7LQPD,c.gonzalez
Activity Monitor.app,10.14,p.guijo,JHY06NWQ23,p.guijo
Activity Monitor.app,10.14,dt.testuser,C02G6X7GQ6L4,dt.testuser
Activity Monitor.app,10.14,d.robinson,DWH3M654MQ,d.robinson
Activity Monitor.app,10.14,f.brunz.gaborieau,C02G4X6FQ6L4,f.brunz.gaborieau
Activity Monitor.app,10.14,n.wierda,FVFHR7GSQ6LR,n.wierda
Activity Monitor.app,10.14,g.adamo,C02G4P81Q6L4,g.adamo
Activity Monitor.app,10.14,n.kuznetsova,HPXGCRWK45,n.kuznetsova
Activity Monitor.app,10.14,f.lamein,F39K610YKW,f.lamein
Activity Monitor.app,10.14,p.reynaers,C02H9E66Q6L4,p.reynaers
Activity Monitor.app,10.14,a.mathur,FVFGP1CBQ05F,a.mathur
Activity Monitor.app,10.14,m.hoevenberg,XW2P6TCGQ7,m.hoevenberg
Activity Monitor.app,10.14,g.capanna.pisce_old,C17GCL8SQ6L4,g.capanna.pisce
Activity Monitor.app,10.14,a.fonlupt,C02FC13NQ6L7,a.fonlupt
Activity Monitor.app,10.14,k.stubenvoll,C02FX8H8Q6L4,k.stubenvoll
Activity Monitor.app,10.14,c.kopuz,FVFHG24VQ05F,c.kopuz
Activity Monitor.app,10.14,e.bosch,FVFFM359Q05N,e.bosch
Activity Monitor.app,10.14,a.smyrski_old_old,WN7VX22NQ2,a.smyrski
Activity Monitor.app,10.14,d.bonsignore,C02FDT0GQ6L4,d.bonsignore
Activity Monitor.app,10.14,c.vonthron,FVFHR7G4Q6LR,c.vonthron
Activity Monitor.app,10.14,j.santana.da.piedade,TX349VP4RT,j.santana.da.piedade
Activity Monitor.app,10.14,l.lubbers,C17GCLJBQ6L4,l.lubbers
Activity Monitor.app,10.14,v.boisard,W4V006G771,v.boisard
Activity Monitor.app,10.14,i.fominskaia,C02FDBUDQ6L4,i.fominskaia
Activity Monitor.app,10.14,a.kouninioti,FVHJH5VJ1WFV,a.kouninioti
Activity Monitor.app,10.14,a.bukhtin,JQ6WPGV41R,a.bukhtin
Activity Monitor.app,10.14,v.hadjilyras,C02FWXM1Q6L4,v.hadjilyras
Activity Monitor.app,10.14,p.casti,C02G4X5FQ6L4,p.casti
Activity Monitor.app,10.14,f.fulchiati,C02GM60AQ6L4,f.fulchiati
Activity Monitor.app,10.14,a.kamp,C02JF7TDQ6L7,a.kamp
Activity Monitor.app,10.14,m.noor.ul.haque_old,D9TXFJ92WV,m.noor.ul.haque
Activity Monitor.app,10.14,a.zubair,JLQYP34PC9,a.zubair
Activity Monitor.app,10.14,s.dimitrijevikj,JFXYF7JDQN,s.dimitrijevikj
Activity Monitor.app,10.14,e.vaninetti,C02H1S5EQ6L4,e.vaninetti
Activity Monitor.app,10.14,f.piras,C02FDT75Q6L4,f.piras
Activity Monitor.app,10.14,t.poellath,C02FFJY3Q6L4,t.poellath
Activity Monitor.app,10.14,g.radesca,FVFHR7GTQ6LR,g.radesca
Activity Monitor.app,10.14,f.hutton,FVFHR7G7Q6LR,f.hutton
Activity Monitor.app,10.14,s.pierdominici,FVFJHECMQ6L4,s.pierdominici
Activity Monitor.app,10.14,z.stelkovics,Y9T2WG7W7Q,z.stelkovics
Activity Monitor.app,10.14,c.van.geldorp,C02FD2FNQ6L4,c.van.geldorp
Activity Monitor.app,10.14,a.mihalji_old,FVFHR7GRQ6LR,a.mihalji
Activity Monitor.app,10.14,a.volozhanin,DMX95M7RJW,a.volozhanin
Activity Monitor.app,10.14,a.fiamingo,FVFHR7GZQ6LR,a.fiamingo
Activity Monitor.app,10.14,r.toledo_old,XHWYQCRX15,r.toledo
Activity Monitor.app,10.14,j.bakker,FVFHR7H0Q6LR,j.bakker
Activity Monitor.app,10.14,s.dugad,FVFHR7G5Q6LR,s.dugad
Activity Monitor.app,10.14,a.skripka,CWTLPWHQY0,a.skripka
Activity Monitor.app,10.14,l.davy,VTJPHM4N7F,l.davy
Activity Monitor.app,10.14,f.polanco,N7265XV25M,f.polanco
Activity Monitor.app,10.14,a.steblovskaya,PNQ0CTXD4L,a.steblovskaya
Activity Monitor.app,10.14,t.blask,D9PQDQTNJ6,t.blask
Activity Monitor.app,10.14,s.possanza,C02FCFQJQ6L4,s.possanza
Activity Monitor.app,10.14,d.neder_old,FVHJH5UN1WFV,d.neder
Activity Monitor.app,10.14,g.van.oers,C17GCLH0Q6L4,g.van.oers
Activity Monitor.app,10.14,e.ahlstrom,C49NQF94T5,e.ahlstrom
Activity Monitor.app,10.14,jacob,FVFG31K6Q05N,jacob
Activity Monitor.app,10.14,t.dantonio,C02H9E5ZQ6L4,t.dantonio
Activity Monitor.app,10.14,e.molenaar,C02G4X9JQ6L4,e.molenaar
Activity Monitor.app,10.14,e.moussa,C02FX20ZQ6L4,e.moussa
Activity Monitor.app,10.14,v.kuon,DKM437P525,v.kuon
Activity Monitor.app,10.14,v.arceci,NWRHY2D4WF,v.arceci
Activity Monitor.app,10.14,j.chukundah,C02FTF3BQ6L4,j.chukundah
Activity Monitor.app,10.14,a.rapisarda,C02DX0GGQ6L4,a.rapisarda
